id_cliente,idade,saldo_atual,divida_atual,renda_anual,valor_em_investimentos,taxa_utilizacao_credito,num_emprestimos,num_contas_bancarias,num_cartoes_credito,dias_atraso_dt_venc,num_pgtos_atrasados,num_consultas_credito,taxa_juros,investe_exterior,pessoa_polit_exp,limite_adicional
5900,55,626.4082847285244,138.21,78722.23856,182.81103717207725,30.967819312185902,1,5,3,22,18,3,8,Não,Não,Negar
1115,38,381.0999976062767,565.04,54341.5635,253.2705023937234,35.485316357251136,0,3,4,27,16,7,13,Não,Não,Negar
2088,38,244.44074418419427,1948.98,14606.097675,91.23856092672771,31.59191193229537,7,8,8,16,16,8,28,Não,Não,Negar
1400,40,363.7576419229366,33.85,30276.62603,101.55736044432928,38.00831781249711,2,7,5,7,16,0,14,Não,Não,Negar
4338,44,115.97040221715493,1456.02,25594.47884,218.7152849992196,23.22356749869009,8,7,6,54,23,10,24,Não,Não,Negar
7497,43,449.7560412892033,1496.77,42853.79525,134.20147774873143,31.56136344377259,2,5,7,9,20,3,18,Sim,Não,Negar
11580,35,292.7962051559164,887.8,41424.60518,253.3219615107504,34.179519754228785,0,5,5,7,14,0,12,Não,Não,Negar
8748,35,209.26414542115683,3836.36,40511.73448,225.5574310276801,38.1009030929148,7,10,7,49,19,11,18,Não,Não,Negar
3785,55,627.3352404493207,712.94,171184.26828,761.7270421962128,29.02199505384816,2,1,6,12,2,2,3,Não,Não,Negar
2743,60,288.02351016367544,149.02,17461.36427,134.20147774873143,27.42040751054741,2,5,7,17,17,2,5,Sim,Não,Negar
1618,27,427.8141484270826,1464.16,47388.145,94.5157296638386,36.83159578839522,3,7,5,20,20,8,16,Não,Não,Negar
8048,23,268.6881546421597,2073.6,19334.95809,10000.0,37.12882014258978,6,6,3,17,20,8,33,Não,Não,Negar
2037,33,272.11726198173614,909.74,41296.63846,134.20147774873143,36.21241549015242,2,8,3,7,11,3,5,Não,Não,Conceder
12025,46,315.8602350682408,1414.75,30598.63688,105.14462236877884,36.20969613237179,2,6,6,18,8,4,10,Sim,Não,Negar
2010,32,672.3079450450375,755.17,102637.61112,99.71099604144317,29.951593163821546,3,3,5,29,9,2,11,Não,Não,Negar
5258,19,589.6364115916343,1405.26,75260.325,134.20147774873143,40.10989711077712,3,8,9,19,20,9,18,Não,Não,Negar
5279,27,253.03558417829208,603.03,41639.5763,257.0222564011177,36.710317663770816,3,4,3,9,17,0,11,Não,Não,Conceder
5546,25,1142.5287655065672,898.45,137065.10168000002,102.32718010511591,43.94814413006088,1,3,5,12,3,0,6,Sim,Não,Conceder
5862,57,349.73342953796487,1084.78,30031.87887,33.53688528274084,38.110856113098,3,4,5,9,20,0,17,Não,Não,Negar
994,47,122.2273935566152,2543.44,42954.0125,330.42070669946133,28.48424924300993,7,10,7,38,20,10,33,Não,Não,Negar
6751,42,225.9131574257468,2404.64,38315.0355,227.55401716394823,32.694418528173514,100,8,5,12,19,4,14,Sim,Não,Negar
8918,40,254.4767739405096,262.98,22783.50718,138.68621784748476,37.05131776892487,4,5,4,19,8,6,18,Não,Não,Negar
5498,36,343.0461512653246,2866.5,6192398.592,13.37459506391507,36.42943366599828,6,9,5,29,18,11,18,Não,Sim,Negar
4915,45,90.55385159783113,746.19,112943.51016,1043.4244272083326,38.60125338618732,1,6,5,16,17,3,12,Não,Não,Negar
9623,26,507.0178429098381,412.4,98178.98040000004,438.7205238587212,31.41611501143661,1,4,7,14,17,1,12,Não,Não,Negar
5187,40,550.2920550860974,547.05,98218.04496,280.790465851846,35.360668905844925,3,0,4,14,0,3,7,Não,Não,Conceder
9282,25,559.0996298174031,4156.6,90758.86016,101.51974573160244,30.908928885415605,5,103,7,27,14,10,27,Não,Não,Negar
4025,32,512.9182512531074,140.85,47423.866,62.19308208022593,34.774104038362765,0,2,4,0,4,2,11,Sim,Não,Conceder
10849,32,310.7634790715342,2131.92,39039.63084,80.54825159151049,37.32718756791271,5,7,891,54,17,7,30,Não,Sim,Negar
4845,24,294.53409329225366,1262.85,24390.03532,10000.0,23.78034163864124,7,5,6,14,12,7,13,Não,Não,Negar
12106,40,197.0741232404888,4117.61,54363.282750000006,276.04961666900584,23.78418897080301,7,8,7,58,16,8,22,Não,Não,Negar
11016,26,268.2616819600212,1037.05,23552.813865000004,161.03879863594662,40.24572162977855,2,1,4,9,6,0,2,Não,Não,Negar
539,30,288.3680323769453,742.33,24998.70135,37.88975377435091,32.97350239576352,7,3,7,26,8,7,15,Não,Não,Negar
2145,43,246.61164877071735,1403.86,28360.70538,180.09128133089695,30.704022137093283,2,5,9,19,14,6,25,Não,Não,Negar
12390,31,450.83061979249857,2848.95,89280.34496,84.74321274500113,37.18149591398964,6,7,10,15,19,8,32,Não,Não,Negar
386,25,311.72701793542615,919.98,26551.209755,98.3354676874576,29.6903919845331,4,3,3,11,13,2,10,Não,Não,Conceder
4376,34,297.72283155695146,1453.52,11485.359925,28.881176166527663,24.186203040119377,7,6,6,28,9,10,32,Não,Não,Negar
8483,28,167.9094108462616,1989.71,82564.57664,437.5752942873256,35.76038462449794,6,6,6,15,16,7,2114,Não,Não,Negar
1422,42,215.8995953233397,1380.18,80151.75,411.2511339513866,34.109025188741306,6,4,6,16,14,9,18,Não,Não,Negar
5848,36,187.5214525731799,1334.81,39315.7212,330.09956358053057,35.832606258648326,2,8,10,48,17,7,28,Não,Não,Negar
3653,59,395.79657058942365,340.15,49561.001,193.9530960772429,30.78905734022434,0,0,6,26,6,0,6,Não,Não,Negar
2020,28,548.2377827205463,375.97,77775.39279999999,10000.0,37.11477213532354,4,4,6,20,14,4,14,Não,Sim,Negar
11499,24,888.2505622587778,1478.43,110041.83684,224.6889377412223,35.51207023656003,0,3,7,21,10,4,12,Não,Não,Negar
2609,32,397.7639358141664,2405.43,42130.739,134.20147774873143,32.52028274639913,3,9,6,33,19,10,1846,Sim,Não,Negar
10139,28,185.20168220943305,2778.6,24581.1748,10000.0,35.64335804471175,7,9,9,48,21,11,23,Não,Não,Negar
2392,35,384.1882447104223,561.74,95343.24696,144.3248887651301,28.18502095197262,6,8,7,13,14,4,18,Não,Sim,Negar
11018,47,272.11875653965456,3232.0,24674.65049,83.50778301517913,25.06693523367397,7,8,5,53,23,10,19,Não,Não,Negar
9116,43,312.8873852666679,1438.9,27531.752045,49.84005091668786,31.892967657407823,4,3,5,2,6,2,2,Não,Não,Negar
3038,35,238.16647884617183,104.41,42422.47274999999,221.662976149012,24.117575246432025,3,5,5,12,19,2,16,Não,Não,Negar
7827,49,295.288639574221,3593.36,23068.62222,80.99730493784679,31.20679383552268,5,7,6,26,18,11,23,Não,Não,Negar
829,25,352.93549593959364,2457.23,62884.137750000016,171.41012423151125,25.781597876444568,5,8,7,51,20,4,1592,Sim,Não,Negar
10320,40,403.32949402860015,1346.77,79625.89425000001,273.74071854923324,38.38814223204723,3,7,4,6,14,0,18,Sim,Não,Negar
1351,42,266.2845095235918,3676.39,73205.60800000001,286.7861602059608,27.35912650718573,6,10,6,18,20,9,19,Não,Não,Negar
9177,34,572.7175115346804,1057.95,113933.77086,134.20147774873143,24.19220281455909,4,1,4,7,8,3,11,Não,Não,Negar
1329,22,331.06056442203896,2002.37,21248.85224,40.06461355605544,27.466382901616587,2,7,6,39,20,7,31,Sim,Não,Negar
1209,38,268.46442232626,1457.54,26525.520490000003,100.88089870875292,26.96606218064857,4,7,9,47,19,10,32,Não,Sim,Negar
3614,24,390.045306553123,3523.03,76532.57324999999,233.0504868535284,29.75916359033684,5,7,7,25,13,11,28,Não,Sim,Negar
1023,30,288.0409150565868,2424.49,13274.957149999998,19.77466640947656,26.275743837653927,7,9,10,15,23,12,24,Não,Não,Negar
11302,19,230.7356782452792,3776.3,73415.965,121.23774610275908,27.73413297445846,9,9,5,44,17,12,20,Sim,Não,Negar
11421,23,275.5378357105605,1685.88,13700.120199999998,60.75079649365773,38.43830202262532,2,6,10,20,17,6,23,Não,Não,Negar
8825,48,223.42123256153369,3145.39,15588.1258,115.88615929827408,33.888388001815535,6,6,10,28,17,6,19,Não,Sim,Negar
2920,44,50.90006749704091,4259.91,42380.30258,328.0646811225687,22.7848427558906,8,8,9,27,22,6,27,Não,Não,Negar
8205,50,131.5957702778055,288.22,76323.72128,518.3436315161587,34.28995437999441,4,7,3,29,14,8,7,Sim,Não,Negar
8412,35,928.4307203296815,678.54,113838.48112,60.20817277221798,30.93728492014759,3,3,3,29,15,4,6,Sim,Não,Negar
1693,26,310.81434556945754,1598.33,54101.880000000005,168.8965662995428,36.54542884670026,4,8,7,16,10,7,14,Não,Não,Negar
8224,21,284.42595638242216,1773.7,24892.9856,107.3881400941822,32.388051887748816,5,3,3,20,14,4,32,Não,Não,Negar
12262,36,1018.5661008089212,1242.39,166674.97748,383.2475336737623,40.0801304996904,2,2,5,9,4,1,11,Não,Não,Conceder
1262,28,274.7530438619193,1288.52,39725.22281,218.759556658713,38.522853025147256,1,6,7,20,20,2,9,Não,Não,Conceder
10732,61,445.2330790989458,1306.64,50915.52025,141.25887671815528,28.800921637216945,3,5,4,13,8,4,6,Sim,Não,Conceder
12432,49,264.83631560580017,4241.52,48755.441,42.67775030465703,38.48006586123041,9,8,10,33,21,8,3202,Não,Não,Negar
6389,42,264.48482618905564,2582.6,41914.4285,204.67453568051928,40.05323994159468,5,8,9,57,21,6,26,Não,Não,Negar
4784,46,389.2290369712668,707.15,28367.048325,50.34658802873327,40.282554668281286,0,0,2,15,6,0,4989,Não,Não,Conceder
9277,30,356.20572517010766,93.73,51526.94225,172.54204253178523,29.13987330281717,100,1,5,12,7,2,5,Sim,Não,Negar
10829,34,417.359874368186,1465.87,39316.59935,101.15554229848058,24.46501763472876,0,6,3,21,9,4,5,Não,Não,Negar
4061,24,309.7946866092209,1316.19,40461.2341,33.18370228086277,30.156864861321896,7,4,4,13,23,5,6,Não,Não,Negar
5774,24,246.164057647478,3509.08,19283.29585,101.34202799552357,33.234101873577124,8,9,7,45,16,9,4340,Não,Não,Negar
4706,54,304.05397247267445,1137.12,15441.2271,93.3546900604124,31.849602867211303,1,6,4,29,19,1,11,Não,Não,Negar
5262,56,374.0114094854178,1084.12,27320.04359,20.590983154957915,25.09568789992551,3,4,6,0,1,1,6,Não,Não,Negar
3781,33,346.96965525697954,233.76,37938.70094,165.35415604723494,33.11798840378246,1,5,6,14,22,0,2,Não,Não,Conceder
2302,47,279.515175998682,1643.18,13034.905,21.171240564666142,29.607276052226304,6,9,5,44,8,11,19,Não,Não,Negar
9211,43,424.28676627603227,2493.18,69268.164,92.94958740928791,26.372142297844444,7,8,8,41,26,1460,27,Não,Não,Negar
11135,44,470.49028535809737,86.55,45457.04275,90.94129797523598,36.995090299269904,0,3,4,30,14,2,4,Sim,Não,Negar
9276,59,521.6716067553543,1342.78,94546.5768,134.20147774873143,30.33460840878224,2,2,7,22,9,4,7,Não,Não,Negar
2513,50,925.7408661859648,1456.75,114445.8666,147.58749992233368,32.47122881565471,100,7,7,7,17,4,13,Sim,Não,Negar
3704,44,313.9437787233972,811.19,30340.09601,134.20147774873143,29.73672188036749,0,0,3,21,3,2,11,Não,Não,Negar
2317,61,237.2336200015656,263.92,38527.18303,157.35688996205016,36.12082327786315,4,1,4,0,7,1,8,Não,Não,Conceder
7229,40,108.29361920810436,1291.41,97302.27959999998,693.2610521457929,33.114758284795435,4,4,3,29,15,3,10,Sim,Não,Conceder
10176,40,396.7840111266692,953.75,25663.44739,10000.0,33.055987122569015,0,2,3,11,2,4,6,Não,Não,Negar
11925,28,504.1605423847503,2357.03,75912.94847999999,243.8134660545594,39.879088332887136,2,7,7,17,13,7,32,Não,Não,Negar
6661,49,382.218342751714,1032.63,21606915.048,134.20147774873143,24.55116927624007,100,8,4,5,14,7,2129,Não,Não,Negar
3423,25,289.3181954639364,2225.58,24320.14809,101.50860772531132,39.80891962739714,2,7,9,19,16,4,31,Não,Não,Negar
7943,60,1016.4911981550796,375.52,106982.40618,73.9315518449205,40.50085185254992,0,0,4,9,11,0,12,Não,Não,Conceder
4148,21,446.4860869270839,2069.01,54250.791,91.69533159980028,35.1888610818656,2,6,6,14,15,10,31,Sim,Não,Negar
12488,38,440.4599330328717,1245.01,50628.711,141.0994903052867,34.524557944310125,1,2,3,1,10,2,7,Não,Não,Conceder
1965,38,534.5049634003437,1020.01,80524.43471999999,127.57045803536508,39.65584358253757,4,5,6,7,21,2,19,Não,Não,Negar
519,26,251.2443142819524,1295.2,139113.55,915.6381596339996,37.81953848454098,2,4,3,15,1,0,10,Não,Não,Negar
1609,39,1063.095318617574,1275.51,139722.88083,314.9179313824261,39.58025858478506,100,1,489,11,11,2,7,Não,Não,Conceder
11393,18,255.3049422785525,1475.3,63186.33300000001,229.3256073370147,23.79221517866421,6,5,6,30,8,4,10,Não,Não,Negar
10774,21,591.627686773767,1389.48,149789.09168,121.12188035128332,37.78471210375848,7,4,4,7,22,5,6,Não,Não,Negar
7443,47,392.9833446014437,473.86,41860.27566,121.72215539855635,26.929278851387163,0,7,6,23,15,4,18,Sim,Não,Negar
6110,29,870.2482127466006,928.99,98502.60576,113.63078725339936,38.25848168074914,0,3,7,25,12,3,3,Sim,Não,Conceder
5776,44,1148.8663187066386,1198.23,161433.06692,210.56015827093088,30.54888345644709,2,3,6,22,3,3,3,Não,Não,Negar
12049,38,321.37090248787183,16.45,35799.0682,131.2801948935674,30.12583884802341,4,7,3,26,17,0,14,Sim,Não,Negar
3018,46,239.0113189514768,578.31,26033.182315,145.2188603497158,31.55277179751133,4,4,6,15,10,2,9,Sim,Não,Negar
3209,20,233.24722998699727,1665.02,21829.174290000003,73.86596909342194,25.921910065128174,7,6,1062,7,15,5,9,Não,Não,Negar
2021,38,323.7983672420806,703.21,24202.13824,54.77234027031536,40.07526530703231,5,6,6,21,8,5,11,Não,Não,Negar
7211,40,257.95210483939474,1699.39,19940.32768,98.26556465700916,30.625019879498147,3,10,10,40,13,1366,23,Não,Sim,Negar
5866,49,468.51413304514097,1100.84,92388.95208,202.81246839981708,31.65302529008516,4,7,6,26,15,4,6,Não,Não,Negar
3061,28,157.02578913188063,3825.77,24875.76035,10000.0,31.49930549374865,9,6,6,55,14,11,23,Não,Não,Negar
2436,58,786.0593278794518,201.35,82525.43424,104.4866721205483,38.76624791155966,0,5,6,20,9,1,6,Não,Não,Negar
10214,34,291.2485255042529,4415.47,13187.133375,56.36037008924046,25.86780447780121,6,8,7,54,25,12,19,Não,Não,Negar
5728,29,337.16958761341334,1216.94,121763.03984,1217.0213583526593,27.924727630536083,3,5,6,18,14,4,15,Não,Não,Negar
1238,54,314.3362535989378,1015.74,156676.05756000002,896.6976364052432,25.597043219878163,3,2,7,1,2,1,6,Sim,Não,Negar
9800,39,347.9351050664192,1528.09,71354.20425000001,180.39110697683697,25.24879182265256,5,8,6,25,22,12,33,Não,Não,Negar
4078,31,246.8448482894832,1439.6,39687.07057,180.93830376554808,23.984297257142657,3,4,4,13,3,4,5,Não,Não,Conceder
1040,35,240.66389590530136,743.2,23185.28107,140.59456075749242,30.709019175711827,4,6,3,23,11,6,9,Não,Sim,Negar
3680,55,390.1110187799801,623.42,44727.69,61.09901545461992,40.25194342482246,4,1,3,3,9,1,3,Não,Não,Conceder
3464,33,1187.1629966901712,909.23,151495.99368,281.1590033098289,39.96810084579858,0,3,7,16,9,0,11,Não,Não,Negar
3786,33,592.7748330606549,2487.17,77565.46944,145.22838250291898,28.781777386010013,2,6,10,27,18,7,27,Sim,Não,Negar
11522,41,290.472326358903,2298.18,22541.46202,87.98145397313242,37.507209500829184,5,9,6,63,19,10,22,Não,Não,Negar
4340,46,687.2185610706474,163.32,76961.72750000001,103.23060559601916,41.27795950127568,0,6,6,14,18,1,3,Sim,Não,Negar
8147,49,223.55341791133824,1231.39,28946.70163,168.4684723663959,23.32830035629575,4,5,3,6,8,3,13,Não,Não,Negar
12283,36,595.820461912894,388.99,172763.28096,816.2762314303983,31.24263890407575,3,5,4,10,1,0,1,Não,Não,Negar
9751,25,283.05546783659776,3266.57,23161.21976,36.523784923717,35.81723269680359,8,8,8,38,18,12,15,Sim,Não,Negar
6720,25,356.548418144414,1483.22,57381.352,157.51055594162858,35.14312010030351,4,3,618,21,21,4,13,Sim,Não,Negar
3352,35,829.8314949989174,182.91,114229.48992,368.0445050010828,36.79032125125703,0,8,6,23,18,2,9,Sim,Não,Negar
7768,50,163.9291868134701,3651.35,26330.01728,126.49310740975724,22.840580325993383,9,6,6,41,18,10,20,Sim,Não,Negar
9837,38,405.1707010888432,378.16,55988.674,148.05968203808175,24.87351095237284,3,8,6,13,13,7,6,Sim,Não,Negar
2803,4788,232.86911256507688,1308.94,76083.819,386.249339690845,32.48364009103847,4,5,4,30,11,7,15,Sim,Não,Negar
4481,34,321.99169435569087,1052.74,22273.28852,50.19597231097576,39.24604234145775,0,4,7,13,16,2,16,Sim,Não,Negar
10665,24,385.32959601713975,4094.73,83411.69824,69.59638360187161,37.04991064227102,7,9,8,48,20,8,21,Não,Não,Negar
8344,18,400.0363173200229,2028.14,52885.19774999999,73.0919679912375,25.78150666373736,6,7,9,38,17,7,22,Sim,Não,Negar
12096,23,377.112177577022,2150.59,58360.87425,140.55288701361968,38.934891950340216,7,7,7,55,20,8,28,Não,Não,Negar
397,35,371.8461228189866,2770.15,54492.459,85.9954781975532,34.398981091414086,8,8,10,27,16,7,17,Não,Não,Negar
10557,506,275.30012280538443,1765.9,20208.21747,60.06543504156557,23.50840834418092,5,10,5,27,22,7,18,Não,Não,Negar
748,22,305.7137724249073,3724.85,4788675.36,59.34579460640624,34.347809330867165,6,7,7,60,21,11,26,Sim,Não,Negar
291,22,95.68184031243608,80.5,104084.6664,727.9822228180221,37.11345666145768,4,5,7,19,14,4,6,Não,Não,Negar
7781,61,337.16958761341334,328.19,90720.296,833.5422665314842,24.950273731679463,3,0,6,6,9,3,10,Não,Não,Negar
812,43,373.4523581528345,518.69,39373.38188,76.70628396700899,41.335812581631096,3,8,5,10,13,4,14,Não,Não,Negar
7636,24,198.28432916950925,2456.24,20755.71022,158.8259102587487,29.038306643763622,6,7,5,27,19,8,22,Não,Não,Negar
2702,19,229.8401141723188,4525.41,52936.46400000001,249.89984351273625,25.242873203007623,8,7,7,25,28,9,17,Não,Não,Negar
8204,29,303.3917340753931,1285.01,20908.94064,48.39890779153215,25.197348594694933,3,0,4,14,10,1,1,Não,Não,Negar
11106,39,263.7315122297844,1367.83,18312.441875,90.28189145621448,34.996500273115394,4,3,5,16,17,2,12,Não,Não,Conceder
12271,48,488.1236077557432,645.33,16086018.72,58.13756755130001,29.89452471176056,1,0,3,18,5,3,3,Não,Não,Negar
2239,35,358.2637636168631,2319.8,54744.96825,53.78990585571516,36.193874142490586,7,6,6,8,6,7,20,Sim,Não,Negar
8537,55,325.62551470990604,349.84,42852.44774999999,174.08250135055303,35.09375137425084,3,6,6,27,12,2,15,Não,Não,Negar
9531,34,198.67522227455868,4449.15,21835.03763,125.15749627732949,31.435952709628225,6,8,5,15,15,2264,22,Não,Não,Negar
5961,57,365.6722307058498,1188.44,33436.169200000004,106.14263078256614,26.04465264615603,1,4,4,28,10,4,19,Sim,Não,Negar
12098,32,338.98418982297176,1229.65,71946.406,301.7259137455283,37.92438629411068,100,5,3,7,12,4,14,Não,Sim,Negar
7041,26,323.5810821021177,589.65,24598.163625,51.53158620992199,34.172747528058274,3,0,3,13,8,1,556,Não,Não,Conceder
5503,25,723.0492086253256,1072.83,94541.97312,205.84879137467445,36.53261437849199,0,5,7,8,9,3,5,Não,Não,Negar
3116,52,471.946517256908,819.48,43535.961,83.41648274309203,40.36382275359091,0,3,4,19,8,2,5,Não,Não,Negar
1218,506,371.0199162054632,1794.98,90174.03712,10000.0,29.6452382299302,9,9,1323,19,19,10,25,Não,Não,Negar
1845,25,245.98293134832215,3652.25,45039.42184,168.12244251709396,33.68178097178769,7,9,9,44,24,12,24,Sim,Não,Negar
10126,38,488.2833409852793,3420.99,65748.102,10000.0,34.63141567646822,6,6,8,59,21,6,33,Não,Sim,Negar
12017,44,716.7608037765809,1040.93,127271.75664,134.20147774873143,29.87265605218872,4,8,5,29,14,8,17,Não,Não,Negar
3885,42,286.9925851780821,2193.11,11696.857575,51.58043163023366,32.86866978198594,3,6,5,55,25,11,34,Não,Não,Negar
6832,40,273.7102913755988,2558.29,13366.652975,49.718113397712365,30.394701313023862,6,7,9,31,25,6,18,Sim,Não,Negar
2860,33,173.39640905939618,4573.36,25345.5706,198.26475957580985,35.36810606909881,5,7,8,51,21,12,18,Não,Não,Negar
10971,34,367.4010098527792,298.88,33533.65736,133.24365681388753,26.911667780940995,0,5,5,6,19,2,7,Não,Não,Negar
9476,46,280.486410452324,1294.45,11458.150925,67.14677708297413,39.69932828024224,5,6,5,36,15,7,15,Não,Não,Negar
8508,49,250.3357284149401,4738.05,28138.8982,57.04641518027225,36.93232886674088,9,9,9,62,14,7,27,Não,Não,Negar
4449,32,415.3531955083919,1204.07,51208.773,173.4532946894526,38.9436072772351,2,3,3,24,13,0,13,Sim,Não,Negar
8288,28,547.2027504856137,1085.23,74730.95920000001,149.8211085661845,25.98518747914554,2,0,6,13,4,2,12,Não,Não,Negar
7317,18,249.67753069125283,2728.69,41098.60888,146.95085717165202,31.644848763642827,6,6,611,30,28,11,18,Não,Não,Negar
9248,40,230.0113955239964,2639.72,20756.8991,154.98845337084356,30.54889463393868,5,8,10,41,17,11,20,Não,Não,Negar
725,39,278.1217746778157,289.1,14348.696050000002,54.342321799330094,25.43859200767229,100,6,5,27,10,4,6,Sim,Não,Negar
9902,59,404.4265900845052,414.12,27415.11346,42.97724324882799,35.008491874836075,0,7,5,29,14,3,4,Não,Não,Conceder
6949,22,384.6075242242648,2258.3,2033968.344,68.78925942549984,32.64455369261795,5,8,1453,13,24,10,25,Não,Não,Negar
6391,25,304.89357044248965,2622.84,12842.281725,32.204385481592034,25.27225965869136,7,6,5,37,12,9,30,Não,Não,Negar
3890,32,201.7303833732753,2538.06,26805.191,184.1691480048576,24.02224303222153,5,6,10,57,24,8,17,Não,Não,Negar
219,45,379.181980639132,2530.66,56489.41725,250.423822311999,38.68011673813015,2,7,5,15,9,6,24,Não,Não,Negar
3692,26,367.9471974666553,300.61,51212.546,226.6727871433525,30.17715090574969,1,2,7,7,1706,3,7,Sim,Não,Conceder
4191,60,298.38631525312394,166.49,28957.705525,111.03305713506764,25.35213347009517,3,1,5,9,5,3,3,Não,Não,Conceder
5124,33,301.5029040800204,940.83,39206.43881,154.31999040072503,34.07001938005249,2,0,4,2,6,4,6,Sim,Não,Conceder
3028,45,74.46426995933909,1450.16,68838.924,495.0865275782488,31.83046630810161,8,9,5,32,14,12,17,Não,Não,Negar
5901,48,373.6280449191577,2000.96,44623.070660000005,86.14256180067694,37.84872388808499,4,8,10,43,15,11,18,Não,Não,Negar
3617,22,896.0869023550705,1117.3,124014.51712,309.28243097826305,29.279802374410163,0,3,3,9,7,2,11,Sim,Não,Negar
11137,57,332.88866514464075,1078.33,43575.798,57.30543923092696,29.079569458082524,697,2,6,10,12,2,7,Não,Não,Negar
8625,56,287.7195366123165,1104.42,19704.96997,79.37278470211122,40.07344211063257,3,3,6,23,17,2,6,Não,Sim,Negar
10193,61,783.7025236100882,344.46,97905.5952,10000.0,42.29188907760074,0,5,4,28,2,2,5,Não,Não,Negar
8729,43,288.99249738080755,4603.45,23910.30873,81.82635844255633,36.94509863971988,7,6,9,28,22,10,18,Não,Não,Negar
3308,27,701.3059678379691,826.98,129578.41796,366.2526808359461,35.55058772245274,3,3,6,15,16,1,15,Não,Não,Negar
8905,55,356.92463598745286,1421.82,40799.10569,115.82811476822474,33.708925668122866,4,2,2,10,9,2,4,Não,Não,Conceder
201,57,347.2190049162654,1048.26,17663.507645,69.2584892791269,26.776456872574773,1,8,7,7,14,2,8,Não,Não,Conceder
4116,46,246.447044987642,2065.27,14643.62965,59.57322117733756,35.71258870346104,6,7,8,64,18,12,29,Sim,Não,Negar
1956,45,291.68250185084565,189.28,41865.51754,92.50609014507508,31.091861992118183,7,6,6,27,18,8,6,Não,Não,Negar
1471,31,542.2303582328597,1444.26,81553.99104,166.84936040546913,29.38578866498549,3,4,4,33,15,2,17,Não,Não,Negar
